filename,deepseek_response
brit1.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
brit10.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
brit2.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
brit3.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
brit4.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
brit5.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
brit6.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
brit7.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
brit8.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
brit9.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
brithard1.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
brithard2.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
brithard3.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
brithard4.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
random1.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
random2.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
random3.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
random4.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
random5.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
random6.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
rus1.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
rus2.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
rus3.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
rus4.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
rus5.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
scot1.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
scot2.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
scot3.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
scot4.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
scot5.jpg,"Error: HTTPError, Details: 404 Client Error: Not Found for url: https://api.deepseek.com/v1/vision"
