filename,model_1_response,model_2_response
brit1.jpg,"Да

Признаки:
*   Голова: Круглая
*   Глаза: Медные
*   Шерсть: Плюшевая
*   Тело: Коренастое
*   Щеки: Полные",N/A
brit10.jpg,"Да

Признаки:
*   Голова: Круглая
*   Щеки: Полные
*   Глаза: Круглые
*   Окрас: Голубой
*   Шерсть: Короткая",N/A
brit2.jpg,"Да

Признаки:
*   Голова: Круглая
*   Щеки: Пухлые
*   Глаза: Оранжевые
*   Уши: Маленькие
*   Шерсть: Короткая
*   Цвет: Серый (Голубой)",N/A
brit3.jpg,"Да

Признаки:
*   Голова: Круглая
*   Глаза: Медные
*   Шерсть: Плюшевая
*   Уши: Маленькие",N/A
brit4.jpg,"Да

Признаки:
*   Голова: Круглая
*   Глаза: Круглые
*   Цвет: Голубой
*   Шерсть: Короткая
*   Тело: Плотное
*   Уши: Маленькие",N/A
brit5.jpg,"Да

Признаки:
*   Голова: Круглая
*   Щеки: Полные
*   Глаза: Медные
*   Шерсть: Плюшевая
*   Тело: Коренастое",N/A
brit6.jpg,"Да

Признаки:
*   Голова: Круглая
*   Морда: Щекастая
*   Глаза: Оранжевые
*   Шерсть: Плюшевая
*   Тело: Коренастое",N/A
brit7.jpg,"Да

Признаки:
*   Круглая (форма головы)
*   Плюшевая (шерсть)
*   Крупная (комплекция)
*   Оранжевые (глаза)
*   Короткая (шерсть)",N/A
brit8.jpg,"Да

Признаки:
*   Голова: Круглая
*   Щеки: Полные
*   Глаза: Круглые
*   Шерсть: Плюшевая
*   Тело: Коренастое
*   Уши: Широкопоставленные",N/A
brit9.jpg,"Да

Признаки:
*   Голова: Круглая
*   Щеки: Полные
*   Уши: Маленькие
*   Глаза: Круглые
*   Шерсть: Плюшевая",N/A
brithard1.jpg,"Да

*   Окрас: Голубой
*   Шерсть: Короткая
*   Тело: Крепкое
*   Голова: Круглая
*   Щеки: Пухлые
*   Текстура: Плюшевая",N/A
brithard2.jpg,"Да

*   Окрас
*   Морда
*   Шерсть
*   Уши",N/A
brithard3.jpg,"Да

Признаки:
*   Голова: Круглая
*   Глаза: Круглые
*   Шерсть: Плюшевая
*   Уши: Маленькие
*   Тело: Коренастое",N/A
brithard4.jpg,"Да

Признаки:
*   Голова: Круглая
*   Щеки: Полные
*   Глаза: Круглые
*   Шерсть: Плюшевая
*   Тело: Коренастое",N/A
random1.jpg,"Нет

**Признаки:**
*   **Уши:** Крупные, заостренные.
*   **Голова:** Клиновидная.
*   **Морда:** Длинная, узкая.
*   **Глаза:** Миндалевидные.
*   **Шерсть:** Короткая, прилегающая.

Это кошка породы **Ориентальная короткошерстная**.",N/A
random2.jpg,"Нет

Признаки:
*   Шерсть
*   Морда
*   Уши
*   Хвост

Это кошка породы **Мейн-кун**.",N/A
random3.jpg,"Нет

Признаки:
*   Голова: Неокруглая
*   Уши: Высокие
*   Тело: Стройное
*   Глаза: Миндалевидные
*   Морда: Суженная

Это кошка породы **Тонкинез**.",N/A
random4.jpg,"Нет

Признаки:
*   Лысая
*   Крупные
*   Морщинистая
*   Клиновидная

Это кошка породы **Сфинкс**.",N/A
random5.jpg,"Нет

Признаки:
*   Шерсть (отсутствует)
*   Морщины (на коже)
*   Уши (большие)
*   Голова (угловатая)
*   Тело (голое)

Это порода Сфинкс.",N/A
random6.jpg,"Нет

Признаки:
*   Уши: Сложенные

Это кошка породы Шотландская вислоухая (Scottish Fold).",N/A
rus1.jpg,"Нет

Признаки, убедившие в неправильности ответа:
*   Уши: Острые
*   Голова: Узкая
*   Глаза: Зеленые
*   Телосложение: Стройное

Порода: Русская голубая.",N/A
rus2.jpg,"Нет

Признаки:
*   **Голова:** Клиновидная
*   **Уши:** Острые
*   **Тело:** Изящное

Это порода: Русская голубая.",N/A
rus3.jpg,"Нет

**Признаки:**
*   Голова: Узкая
*   Уши: Острые
*   Тело: Стройное

Это кошка породы Русская голубая.",N/A
rus4.jpg,"Нет

**Признаки:**
*   Уши: Высокие
*   Голова: Клиновидная
*   Глаза: Зеленые
*   Тело: Стройное
*   Шерсть: Гладкая

Это Русская голубая кошка.",N/A
rus5.jpg,"Нет

Признаки, убедившие в неправильности ответа:
*   Уши: Острые
*   Глаза: Миндалевидные
*   Морда: Клиновидная
*   Тело: Стройное

Это кошка породы **Русская голубая**.",N/A
scot1.jpg,"Нет

Признаки:
Уши: Сложенные

Это Шотландская вислоухая (Scottish Fold).",N/A
scot2.jpg,"Нет.

Признаки:
*   Уши: Сложены
*   Порода: Шотландская вислоухая",N/A
scot3.jpg,"Нет

Признак: Уши (Сложенные)
Это кошка породы: Шотландская вислоухая.",N/A
scot4.jpg,"Нет

Признак:
*   Уши: Сложенные

Это кошка породы Шотландская вислоухая.",N/A
scot5.jpg,"Нет

Признаки:
Уши: Сложенные

Это кошка породы Шотландская вислоухая.",N/A
