filename,llava_13b_response
brit1.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
brit10.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
brit2.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
brit3.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
brit4.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
brit5.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
brit6.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
brit7.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
brit8.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
brit9.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
brithard1.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
brithard2.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
brithard3.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
brithard4.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
random1.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
random2.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
random3.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
random4.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
random5.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
random6.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
rus1.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
rus2.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
rus3.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
rus4.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
rus5.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
scot1.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
scot2.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
scot3.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
scot4.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
scot5.jpg,Error: 'NoneType' object has no attribute 'from_hf_autotokenizer'
